Video ID,Comment,Published At
LZEq-dZQ9S4,한국은 세계를 바꿀것 ㅇㅈㄹ ㅋㅋ<br>세상에서 가장 불행한 민족이 국뽕은 오지노,2023-10-20T20:23:28Z
LZEq-dZQ9S4,"<a href=""https://youtu.be/HT9pEVRK23s?si=ZK1WusrOXeDS0xtz"">https://youtu.be/HT9pEVRK23s?si=ZK1WusrOXeDS0xtz</a>",2023-10-20T12:58:12Z
LZEq-dZQ9S4,필요없는 정치인들이 너무 많다 ㅋㅋㅋ,2023-10-20T12:09:06Z
LZEq-dZQ9S4,탈원전 태양광으로 한전이 적자 투성이가 된 것을 보고도 MBC가 이런 헛소리를 하네! 네놈들은 엘고어 X구멍이나 빨아라.,2023-10-19T23:37:25Z
LZEq-dZQ9S4,되게 똑똑하고 멋져보인다 전 부대통령,2023-10-19T14:53:22Z
LZEq-dZQ9S4,애기가 있어야 뭘하던가말던가하지,2023-10-19T14:30:06Z
9sjCpzGS6Q4,이산화탄소를 우주로 날려 보내면 안되나? 왜 지구에만 놔둘려고 하지,2023-10-25T18:21:33Z
9sjCpzGS6Q4,"굳이 가정용과 산업용을 왜 구분하는지 모르겠네요 그러면 위안이 되나요? 오래 전부터 기업 악마화의 일환이라고 밖에 생각안되는데요 순수하게 집 안에서 개인이 쓰는 전기 말고, 개인이 외출, 출퇴근 시 쓰는 대중교통과 직장의 온갖 냉난방/전기 설비, 문 열고 에어컨 빵빵하게 켜둔 추울 정도라 가디건 갖고 다녀야 할 정도인 카페나 매장, 헬스장, 센터 이용하는 여가 및 쇼핑 시간, 길거리 밝히고 있는 조명, 통신, 광고판들 모두 산업용이고 개인 한 명 한 명이 써서 모이는 것들이구요 이걸 개인이 쓰는 게 아니라고 치부하는 건 그야말로 눈가리고 아웅이죠 집에 있는 시간보다 밖에 있는 시간이 훨씬 많은 사람이 집에서 조금 썼다고 집밖에서 하루종일 쓴 온갖 전기는 안쓴 게 아니잖아요",2023-09-13T12:58:30Z
9sjCpzGS6Q4,김민하 배우님 호박 이야기 하시는게 너무 귀여우시네요 ㅎㅎ,2023-09-12T03:10:43Z
9sjCpzGS6Q4,"22년도 기준 1인당 전기 사용량이  OECD 38개국 기준으로 8위였고  이건 산업용, 상업용, 가정용 모두 합한 총사용량을 토대로 나온 순위이고 가정용 사용량만 놓고 보면 26위 였습니다.  가정용 사용량은 OECD 평균보다  낮았습니다.",2023-09-10T14:09:55Z
9sjCpzGS6Q4,타노스가 옳았다,2023-09-09T11:56:57Z
9sjCpzGS6Q4,인간을 멸종시키지 않는이상 지구멸망을 막을수 없음.,2023-09-08T18:20:40Z
9sjCpzGS6Q4,"미친 항덕으로써.. 비행기가 탄소배출 1위라는게 너무 안타깝습니다. 에어버스사에서 철새의 V자형 비행 중 선두 새의 Upwind를 이용한 연료저감 비행술을 연구하고 있다고는 한데, 그 기술이 현실에 도입되어서 효과를 보려면 항로부터 바꿔야하는등 많은 문제가 있는터라 근미래에는 실현가능성이 낮아보여서 안타깝습니다. 사실 여객기의 탄소배출은 과거부터 엔진의 바이패스비를 늘린다던가 날개형상을 변화시키는 등 연료저감, 소음 측면에서 많은 향상과 발전이 있어왔지만, 아직도 부족하다는 생각이 듭니다. <br> 항공산업은 특히 민간항공산업은 없어서는 안되는 산업이라고 생각합니다. 배라는 대체제가 있다고는 하지만, 시간적인 측면에서 너무 압도적인 차이가 있기 때문에 비교할 바는 아닌것 같고요. 그래서 우리는 거의 필수적으로 항공기를 이용해야 하는데, 앞으로 항공기의 탄소저감기술이 빠르게 진보하여 항공기의 탄소배출이 획기적으로 줄었으면 좋겠습니다ㅠ 사랑하는 항공기 죽을때까지 눈에 담아야 하니깐요ㅠㅠ",2023-09-08T15:59:51Z
9sjCpzGS6Q4,"우리가 전기를 막쓰는게 아니고요~~ 기업들이 헐값에 막쓰는거죠. 기업들이요!! <a href=""https://www.youtube.com/watch?v=9sjCpzGS6Q4&amp;t=8m12s"">8:12</a>",2023-09-08T15:51:58Z
zHsn61kRTT8,"환경오염, 화재위험, 소음피해가 있는 불꽃놀이하지 말고 내년부터 드론쇼를 해야 합니다. 드론이 추락하지 않도록 점검을 잘 해야 합니다.",2023-10-27T12:43:33Z
zHsn61kRTT8,"보기에 너무 이뻐서 저도 꼭 보러가고 싶었는데 이 불꽃놀이가 환경 오염이 되는 줄 전혀 몰랐습니다.불꽃놀이 후 대기오염 물질이 300배 늘어 난다고 하니 정말 걱정입니다, 앞으로 보기 좋은 것도 좋지만 좀더 환경을 생각했으면 해요",2023-10-27T08:36:16Z
zHsn61kRTT8,MY WIFE..... MAMI.... MAHATMA GANDHI.... ( MAHATMA ERWIN DULMIN......)........,2023-10-22T16:38:15Z
zHsn61kRTT8,MY WIFE..... MAMI.... MAHATMA GANDHI..... ( MAHATMA ERWIN DULMIN.....).........,2023-10-22T16:37:48Z
zHsn61kRTT8,백해무익회사대표<br>세계1군발암물질회사사장은 문제 없어서 뉴스에 안나와서 좋겠다,2023-10-20T05:38:44Z
zHsn61kRTT8,오 한순간의 불꽃이여!.,2023-10-16T15:42:03Z
zHsn61kRTT8,"불꽃축제 건들지 마라,",2023-10-16T15:03:18Z
zHsn61kRTT8,다른나라는 폭탄에 난리다... 이제 환경에 너무 안좋은 이짓거리좀  그만했으면....,2023-10-16T07:49:39Z
zHsn61kRTT8,그렇게 개빠가 되는겁니다~,2023-10-16T07:21:21Z
zHsn61kRTT8,불꽃놀이야 말로 진정한 돈지랄..,2023-10-16T05:08:37Z
zHsn61kRTT8,"우리나라도, 변해야한다. 아쉬워도, 미래의 아이들을 위해 필요하다면 변해야 한다",2023-10-16T04:54:46Z
zHsn61kRTT8,드론으로해라 뭔짱깨도아니고,2023-10-16T03:22:22Z
zHsn61kRTT8,"진보는 드론,  극우는 불꽃  정권 따라 이리 변하나!?",2023-10-16T03:14:41Z
ObjSFRz_Jw8,원시시대로 돌아가서 2차가공품이 없는 자급자족의 세상에서 살아야 환경파괴가 없어질 듯.,2023-10-25T22:35:08Z
ObjSFRz_Jw8,"환경을 지킨다고 에코백을 쓰곤 했는데, 환경보호를 하려면 한번 산 에코백을 19년 6개월을 매일 사용해야 한다고 하니..실천이 불가능한데 이게 정말 환경을 보호하는 일이 맞는지 의문이 드네요. 쓰레기를 잘 폐기하는 것에만 집중하는 것이 아니라 한 제품 생산부터 폐기까지 총체적으로 파악해야 한다는 것을 알았습니다. 우리 모두가 관심을 가질 때도 구체적인 정보와 실천 방법을 확인하는 것이 중요할 것 같습니다.",2023-10-17T09:13:16Z
ObjSFRz_Jw8,한번씩은 꼭 보면서 되새겨 볼 영상이예요!,2023-10-11T05:08:56Z
ObjSFRz_Jw8,"플라스틱을 쓰려면 PP 제품으로 재활용 가능 높은걸 써야하고, 새척 깨끗히 해야하고, <br>나무 제품은 나무를 밴 이후에 해당 나무의 씨앗을 심거나 따로 모종으로 키워서 배었던 그 장소에 심는 등 재생시키는 일로 제대로 하는 기업을 선택해야 합니다.<br>썬크림의 경우는 웬만해서는 화학성분 없는 제품을 써야 하는게 화학썬크림을 금지하는 국가가 있는데, 산호의 Dna를 파괴하고 백화현상을 일으키기 때문이예요.",2023-10-10T09:29:30Z
ObjSFRz_Jw8,"환경에 대해 많은 관심을 가져보려고 다양한 영상을 접하고 있는데, 이 영상을 보며 흥미로운 사실을 알게 되었어요. 바로 에코백이 환경보호에는 전혀 도움이 되지 않는다는 사실입니다. 제가 무지한 탓도 있겠지만, 처음 알았는데 지금이라도 알게 되어 다행인 것 같아요. 이렇게 뉴스에 환경 관련 이야기들이 자주 배포되면 좋을 것 같습니다.",2023-10-06T05:44:13Z
ObjSFRz_Jw8,카페마다 고객을위한 싱크대설치해줬으면...제 텀블러 제가씻을테니까 제발 설치해줘...,2023-09-23T01:58:12Z
ObjSFRz_Jw8,에코백 하나를 만드는 데 드는 탄소발자국(제품 하나를 만드는 데 드는 탄소의 총량. 즉 기후변화에 미치는 영향)은 최소 일회용 비닐봉투의 130배 라고 합니다.  에코백 여러개 쓰지 마시구 한 두개로 최소 260번 이상 사용하시길 바래요,2023-09-08T11:23:05Z
ObjSFRz_Jw8,"환경 파괴 = 경제성장, 경제 위축 = 환경 보호이니 미국 공화당이 싫어하는 것..",2023-08-30T22:01:51Z
ObjSFRz_Jw8,소비를 줄입시다. 소비를 줄이자!,2023-08-23T11:47:14Z
ObjSFRz_Jw8,환경을 위해 가능한것부터 실천하기 추천합니다.,2023-08-23T01:45:45Z
ObjSFRz_Jw8,종이빨대.. 짱증나서 11번가에서 플라스틱빨대 대량 구매햇다,2023-08-02T04:37:51Z
ObjSFRz_Jw8,사람들 자체가 성숙해지고 바뀌어야 함,2023-07-25T14:06:40Z
ObjSFRz_Jw8,"안녕하세요. 저는 화법과 작문 수업에서 선플 달기 활동 중인 노원고등학교 정현우입니다.<br>최근 종이빨대가 무늬만 친환경이라는 것을 보고 실질적으로 환경 보호를 할 수 있는 법을 찾다가 이 영상을 보게 되었습니다. LCA, 전 과정 평가가 정확하게 무엇인지 상세한 예시와 친환경 실천 꿀팁을 총해 알수 있어서 좋았습니다. 또한 앞으로 우리가 ‘폐기 단계에만 집중 하는 것이 아니라 과정 단계에 더욱 집중해야한다는 것을 알게되었습니다.  <br>좋은 정보 제공해 주셔서 감사합니다. 앞으로도 좋은 영상 부탁드립니다.",2023-07-09T12:49:38Z
ObjSFRz_Jw8,"그냥 생산과 소비를 최소화 하는 게... 오래 쓸 수 있는 제품을 필요한 만큼만 구매하고, 좀 더 편하고자 하는 욕심을 버리고 환경에 양보합시다 우리<br>그리고 에너지등급 표시 처럼 LCA 등급 같은 걸 만들어 표기해서 소비자들이 직접 보고 판단하여 소비할 수 있도록 제도가 만들어지면 좋겠네요",2023-07-07T10:50:20Z
ObjSFRz_Jw8,분리수거 기준이나 친환경 제품 소비의 장단점들이 사람들에게 명확하지 않게 퍼져나가서 역효과를 불러오기도 하는 것 같아요. 에코백과 텀블러를 여러 개 구매해서 사용하는 것보단 하나를 오래 써야겠네요.,2023-07-04T19:12:22Z
ObjSFRz_Jw8,되도록 안사는게 답인듯!!,2023-07-04T03:31:47Z
ObjSFRz_Jw8,"이런말도 들은적이 있어요<br>나무젓가락 사용은 당연하게도 환경을 파괴하지만, 그렇다고 쇠젓가락 씻는데 세제를 쓰는 건 환경을 파괴하지 않는가? (그렇다고 그냥 물로만 씻으면 위생, 건강에 문제생길테고)<br><br>애초에 인간, 나아가 생명의 존재 자체가   대변 등으로 환경을 파괴하는데, 강박적으로 환경에 주는 피해를 0에 수렴하게 만드는데 집착하지 말고 조금 점진적인 시각으로 환경보호를 바라보는 게 바람직하다 봅니다.<br><br>먼길에 아예 안 갈수는 없으니 대중교통 즐겨타고... 소고기 대신 돼지고기와 닭고기 즐기고... 위에서 말한 젓가락의 경우에도 나무젓가락을 쓰기보단 세재 조금 써서 오물을 씻어내는 게 환경에 훨씬 부담이 덜 간다는걸 우린 모두 잘 알고있죠!<br><br>친환경 시설같은 경우에도 당장은 원자재 문제 등으로 환경에 부담이 더 가겠지만, 장기적으로 볼 때 환경을 그보다 더 보호할 수 있으니 짓는 것 아닐까요?<br><br><br><br>아 우유팩 물로 헹구기 귀찮아",2023-06-28T06:08:02Z
ObjSFRz_Jw8,환경을 지키는 방법을 알려주셔서.<br> 감사합니다,2023-06-18T22:54:44Z
ObjSFRz_Jw8,그냥 친환경 할거면 소비를 아예 못하게 하라고 <br>플라스틱봉투 천번 사용하면 에코백 백번쓰는거보다 친환경인게 뻔한건데,2023-06-12T16:10:39Z
ObjSFRz_Jw8,아니 그럼 뭐 일반 시민들에게 얼마나 분리수거를 계속 자꾸 짊어지게 하는거냐<br>그래 캔 플라스틱등 일일이 분리해서 내다버리는거 까지야 할수 있다고<br>근데 이것도 적당히 해야지<br>매번 국민들에게만 분리수거 강요하냐,2023-06-08T17:24:49Z
CYHnOJv9xcI,저건 대체 어떤 새끼가 만든거냐?,2023-10-30T22:53:42Z
CYHnOJv9xcI,그냥 빨대를 금지해라 ㅋㅋ 컵들고 마셔 무슨 종이빨대타령이야,2023-10-25T08:05:26Z
CYHnOJv9xcI,&#39;종이 빨대&#39; 기사 올려주셔서 감사합니다.,2023-10-13T06:55:23Z
CYHnOJv9xcI,문벌구가 싸지른 똥,2023-10-13T02:59:53Z
CYHnOJv9xcI,문재인 또 또 또 당신입니까....joat,2023-10-08T01:15:56Z
CYHnOJv9xcI,맛없는 풀테귀 게다가 카프리썬 개짜증나,2023-10-03T05:57:52Z
CYHnOJv9xcI,ㅈ전정부하는일이그렇지뭐,2023-09-24T10:44:01Z
CYHnOJv9xcI,친환경 비건 이지랄하더니 ㅋㅋㅋ,2023-09-22T09:10:01Z
CYHnOJv9xcI,엥 뭔소리지? 나라에서 법적으로 종이빨대쓰라고 바꿔서 그런거잖아;;벌금까지 내라며;;,2023-09-15T02:31:13Z
CYHnOJv9xcI,이제 앞으로 영업장에 규정에 플라스틱 빨대는 사용을 금지를 규정을 정해놔서<br>다 종이 빨대로 하는데가 많아서 어쩔수가없습니다. ㅠ 그러니 빨대없이 마시면되는거구요. 정 빨대없이 못마시겠다하면 개인 빨대를 들고 <br>다니시면됩니다.,2023-09-01T16:56:35Z
CYHnOJv9xcI,선동할땐 쓴 거북이 코에 꽂힌거는 빨대가 아니라 일회용 포크였음.,2023-08-30T06:49:35Z
CYHnOJv9xcI,계속 종이 빨대 주렴. 쓰래기 제대로 안버리고 종이빨대만 길거리에 줄줄줄 뿌리고 다닐거다 ㅋ 병신 법이 맞는지 일반 현실이 맞는지 싸워보자 병신 정부야 ㅋ 20층 높이 건물에서 있는 종이 빨대마다 하나씩 길거리 위에 던져주지,2023-08-26T21:48:14Z
CYHnOJv9xcI,ㅋㅋㅋ 저거 여자들이 빨던거잖아 친환경이니 비건이니 타령하면서 ㅋㅋㅋ 정작 그게 더 환경오염인데 하여간 쯧 ㅋ,2023-08-23T17:55:56Z
CYHnOJv9xcI,단순히 생각해봐도 종이빨대를 쓰는 것보다 종이컵을 쓰는게 더 낫습니다.,2023-08-23T16:10:24Z
